grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url;structure;part_of_speech;word_type;register;about;cautions;example_jp_1;example_en_1;synonyms;antonyms;related;meaning_hint;jp_hint
でも;Or something,  Any... (with question words), No matter (who);N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/%E3%81%A7%E3%82%82;Noun + でも + Suggestion | だれでも - Anyone | なんでも - Anything | どこでも - Anywhere | いつでも - Anytime;;;Standard;でも is one of many adverbial particles in Japanese. These are particles that behave like a regular 助詞（じょし） (in that they appear after the words that they are referencing), but their role is a little bit more specific. でも itself has several uses, and the use that we will examine in this grammar point is called 例示（れいじ）. Basically this means 'presenting examples'.;When grouped with 何（なに）, the pronunciation will almost always change to なん. This is purely to make なんでも easier to say.;どこでもいいよ。;Anywhere is good.;;;もしも～なら・もしも～でも | か | 誰か・どこか・誰も・どこも | ても | か何か;;
～易（やす）い;Easy to, Likely to;N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/%E3%82%84%E3%81%99%E3%81%84;Verb［stem］+ やすい | Verb［stem］+ やすい + です;;;Standard;易（やす）い is an い-Adjective that is regularly seen attached to the ます stem of verbs (the form of a verb that can be used as a noun). When attached in this way, it carries the meaning of 'easy to (A)', where (A) is the verb that comes before やすい.;There is another adjective 安（やす）い that has the meaning of 'cheap'. This kanji should never be used with verbs to mean 'easy'. Most of the time, やすい itself will be written in hiragana, and usage of 易（やす）い is quite limited.;カスミちゃんは泣（な）きやすいから優（やさ）しくしてね。;Kasumi is likely to cry, so please be nice to her. (Kasumi cries easily);;にくい;;;
にくい;Difficult to, Hard to;N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/%E3%81%AB%E3%81%8F%E3%81%84;Verb［stem］+ にくい | Verb［stem］+ にくい + です;;;Standard;Like 易（やす）い, にくい is an い-Adjective that is regularly attached to the ます stem of verbs. However, instead of meaning 'easy to (A)', it means 'difficult to (A)'. (A) will always represent the verb that comes before にくい.;;この駐車場（ちゅうしゃじょう）は狭（せま）いから止（と）めにくい。;This parking lot is very cramped, so it is difficult to park.;;やすい;がたい;;
づらい;Hard to, Tough to, Painful to, Difficult to;N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/%E3%81%A5%E3%82%89%E3%81%84;Verb［stem］+ づらい;;;Standard;Like にくい, づらい is an い-Adjective that attaches to the ます stem of verbs to express that something is 'difficult to do'. The main difference is that づらい expresses a psychological, emotional, or physical burden on the person performing the action. It carries a nuance of 'unbearable' or 'painful to do'.;;まだ完全（かんぜん）に治（なお）ってないから、歩（ある）きづらい。;I haven't fully recovered yet, so it is hard to walk.;;;;;
段々（だんだん）;Gradually, Little by little, Step by step;N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/%E3%81%A0%E3%82%93%E3%81%A0%E3%82%93;だんだん + （と） + Phrase;;;Standard;だんだん is an adverb that is used to express the slight, but constant, progression of something. Originally, it comes from the kanji construction 段々（だんだん）, which can be thought of as meaning 'step by step', 'stepwise', or even 'steadily'. だんだん is similar to ほとんど, in that it can modify the meaning of entire phrases, rather than just single words.;Initially, it can be easy to mix-up だんだん, with どんどん. どんどん is an onomatopoeic word that represents loud banging (like on a drum), so is used to express fast changes/progression. This is unlike だんだん, which expresses slower changes/progression.;先輩（せんぱい）が後輩（こうはい）に話（はな）している：「大丈夫（だいじょうぶ）、だんだん上手（じょうず）になるよ。」;A senpai speaking to their kouhai: 'Don't worry, you will become better gradually.';;;どんどん;;
どんどん;Progressively, Rapidly increasing, More and more;N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/%E3%81%A9%E3%82%93%E3%81%A9%E3%82%93;どんどん + （と） + Phrase;;;Standard;どんどん (or ドンドン) is one of the countless words in Japanese that represent a particular sound or sensation. These words are known as onomatopoeia (オノマトペ in Japanese). どんどん represents the sound of banging (like on a drum), or the pounding of feet. In this way, it is regularly translated as 'rapidly', or 'quickly'.;どんどん - Swift change, だんだん - Gradual change | Initially, it can be easy to mix-up どんどん, with だんだん. だんだん is used to express slower changes, and may be thought of as similar to 'steadily', or 'step by step' in English.;どんどん暑（あつ）くなる。;It will rapidly get warmer and warmer.;;;だんだん | ますます | 一方だ | ば〜ほど;;
等（ら）;We, Them, They, These, Those;N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/%E3%82%89;Pronoun + ら;;;Standard;There are many prefixes and suffixes in Japanese that are used depending on what the speaker wants to highlight. ら is a suffix (component used after the main part of a word) that implies that there is 'more than one' of something. Due to this, ら is often called a 'pluralizing suffix'. ら comes from the same kanji as 等（など）, and the literal meaning is closer to '(A) etc'.;Spoken casual, may be considered rude | Because ら has a literal meaning that is close to '(A) etc', or '(A) and so on', it may sometimes be considered a bit rude (due to being dismissive). Because of this, it is recommended to not use this suffix in relation to people, unless it is absolutely essential to indicate plural. In most cases, 達（たち） will be a far better choice.;彼（かれ）らは日本語（にほんご）を勉強（べんきょう）しにきた。;They came in order to study Japanese.;;;と | や;;
～ていく;To ~ and go, To go on, To start;N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%81%8F;Verb［て］+ いく | Verb［て］+ いきます;;;Standard;This grammar construction is a mix of the conjunction particle て, and the verb 行（い）く 'to go'. To use this grammar point, you will need to attach て to any verb, and then follow it with いく.;;毎日（まいにち）ゴルフの練習（れんしゅう）をしたらだんだんと上手（うま）くなっていく。;When you practice golf everyday, you will gradually get better.;;;てくる  | へいく | Verb + にいく | はじめる;;
～てくる;To come to, To become, To continue, To be starting to, Has been ~ing;N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8F%E3%82%8B;Verb［て］+ くる | Verb［て］+ きます;;;Standard;This grammar point is a combination of the conjunction particle て, and the verb 来（く）る 'to come'. To use this grammar point, you will need to attach て to any verb, and then follow it with くる. This nuance is usually that '(A) happened, and then came', or 'will happen, and then come'. In other words, it will depend on whether くる is in present, or past tense.;;すぐ帰（かえ）ってくるね？;You will come back home soon, right? (Literally - Return and come);;;ていく | ばかりだ | つづける | くる | ～になる・～くなる;;
方（かた）;Way of ~ing, How to ~, Manner of ~ing;N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/%E3%81%8B%E3%81%9F;Verb［stem］+ 方（かた） | ［する］Verb + の + 仕方（しかた） | Noun + の + Verb［stem］+ 方（かた） |  | Examples: | 飲（の）みます + 方（かた） | 勉強（べんきょう）+ の + 仕方（しかた）;;;Standard;When 方（かた） is attached to the ます stem of a verb, it carries the nuance of the 'way of doing (A)'. This is identical to 方（かた）'s standard meaning of 'way', or 'direction'.;;私（わたし）は高校（こうこう）の時（とき）に母（はは）から貯金（ちょきん）の仕方（しかた）を教（おそ）わりました。;I learned how to save money from my mother, when I was in highschool.;;;たほうがいい;;
だけで;Just by, Just with;N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%91%E3%81%A7;Verb + だけで | Noun + だけで;;;Standard;だけで is a combination of the adverbial particle だけ, and the case marking particleで. This expression is regularly thought of as meaning 'just by (A), (B)'. However, the literal translation is a bit closer to 'with only (A), (B)'. This reflects the で particle's standard usage of showing a 'tool' that is being used to achieve a certain result.;;パーティーに行（い）くだけで楽（たの）しい。;Just (by) going to a party is fun.;;;だけ;;
だが;But, Still, However, Nevertheless;N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%8C%E3%83%BB%E3%81%A7%E3%81%99%E3%81%8C;だが + Phrase | ですが + Phrase;;;Formal;While だが (or ですが as a polite equivalent) are classified as their own words, they are actually just combinations of だ, or です, and が. だが is usually used as a formal way of saying 'but', or 'nevertheless'. Due to this, we can see that だ is being used to 'determine' that a statement is true, while が simply shows that there is other important information to follow.;When using ですが, it will automatically mean that the rest of the sentence should also use polite speech.;彼（かれ）は弁護士（べんごし）だが、頭（あたま）が良（よ）くない、不思議（ふしぎ）だ。;He is a lawyer, but he is not very smart… How odd.;が;;それでも | けど・だけど | ところが | けれども;;
なくて (Sequence);To not ~ and ~, Not ~ and ~ (Conjugations);N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8F%E3%81%A6-conjunction;Verb［ない］+ な + くて | ［い］Adjective［い］ + くな + くて | ［な］Adjective + では(1)ない + な + くて | Noun + では(1)ない + な + くて |  | Exceptions: | いい ￫ よくなくて | する ￫ しなくて | くる ￫ こなくて |  | (1) じゃ;;;Standard;In Japanese, なくて is a construction that combines ない (in its conjugation form, なく), with the conjunction particle て. This results in the same 'and' meaning as the standard て form, but with the negative meaning of ない. なくて can be translated as 'to not (A), and…', or 'not (A), and…', depending on what type of word it is used with.;なくて is very similar to ないで, another structure that is regularly used with verbs (but may not be used with nouns or adjectives). ないで is far more common when expressing 'not doing' something, while なくて tends to be used almost exclusively for expressing reasons/causes.;なる → ならなくて;To become → To not become and...;;;Adjective + て・Noun + で | ないで | ではなくて・じゃなくて;;
なくて (Reasons and Causes);Not ~ and, Not so, Because not (Examples);N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8F%E3%81%A6;Verb［なくて］+ Phrase | ［い］Adjective［なくて］+ Phrase | ［な］Adjective + ではなくて(1) + Phrase | Noun + ではなくて(1) + Phrase |  | (1) じゃなくて、でなくて;;;Standard;In Japanese, なくて is a construction that combines ない (in its conjugation form, なく), with the conjunction particle て. This results in the same 'and' meaning as the standard て form, but with the negative meaning of ない.;;重病（じゅうびょう）じゃなくてホッとした。;I was relieved because it wasn't a serious illness.;;;ないで | Verb[て] + B | ではなくて・じゃなくて;;
ないで;Without doing, Not ~ and ~;N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%84%E3%81%A7;Verb［ない］+ で;;;Standard;There are two primary ways in which ないで is used with verbs in Japanese. The first is to express 'without doing (A), (B)'. The second is to request that someone 'not do (A)'. We will examine the first in this write-up.;Be careful of the following two structures: | (A) ないで (B) - Without doing (A), (B). | (A) なくて (B) - Without doing (A), (B). | Technically, these two constructions share a similar meaning. However, in modern Japanese ないで is used more frequently when the (B) action is being highlighted as being done without (A). On the other hand, なくて is used when (A) is being given as a reason for why something else was/wasn't done.;上司（じょうし）に伝（つた）えないで休（やす）んだの！？;You took the day off without notifying your boss!?;;てください | なさい;ともなく・ともなしに | なくて | ずに | な | Verb[ないで] | ないでください;;
れる・られる (Passive);Was done to ~ by ~, Done without consent, Done to one's dismay;N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/Verb%5Bpassive%5D;Examples: | ［る1］Verb ￫ 見（み）る + られる | ［る⁵］Verb ￫ 座（すわ）る + られる | ［う］Verb ￫ 歌（うた）う + われる | ［く］Verb ￫ 歩（ある）く + かれる | ［す］Verb ￫ 話（はな）す + される | ［つ］Verb ￫ 打（う）つ + たれる | ［ぬ］Verb ￫ 死（し）ぬ + なれる | ［ぶ］Verb ￫ 飛（と）ぶ + ばれる | ［む］Verb ￫ 休（やす）む + まれる | ［ぐ］Verb ￫ 泳（およ）ぐ + がれる |  | Exceptions: | する→される | くる→こられる | Examples: | ［る1］Verb ￫ 見（み）る + られます | ［る5］Verb ￫ 座（すわ）る + られます | ［う］Verb ￫ 歌（うた）う + われます | ［く］Verb ￫ 歩（ある）く + かれます | ［す］Verb ￫ 話（はな）す + されます | ［つ］Verb ￫ 打（う）つ + たれます | ［ぬ］Verb ￫ 死（し）ぬ + なれます | ［ぶ］Verb ￫ 飛（と）ぶ + ばれます | ［む］Verb ￫ 休（やす）む + まれます | ［ぐ］Verb ￫ 泳（およ）ぐ + がれます |  | Exceptions: | する→されます | くる→こられます;;;Standard;In Japanese, there are several ways to express that something 'passively' happens. All of these are done with the auxiliary verbs れる and られる. Japanese verbs in the passive form behave in a slightly different way than they do in English, so we will examine this difference more closely later. For now, let's focus on れる, られる, and される (the form used with する verbs).;られる can be used in several different situations. These are listed below. | Passive: 受（う）け身（み） - Something happens to the subject as a result of an external force (sometimes sounds negative). | Possible: 可能（かのう） - There is the possibility for something to be done. | Spontaneous: 自発（じはつ） - Something happens by itself, or 'without instigation'. | Respectful: 尊敬（そんけい） - You are respecting someone by making them the subject of the sentence, despite someone else actually performing the verb. | But wait, what about れる with る-Verbs! Well, in Japanese, ら removal words 'ラ抜（ぬ）き言葉（ことば）' are very common. These are words that are able to use れる, instead of られる. The original meaning of both of these auxiliary verbs is exactly the same, but there are cases where ら may not be removed. The standard rules are as follows. | ら may be removed - る-Verbs and くる, when the meaning is 'possible'. | ら may not be removed - る-Verbs and くる, when the meaning is 'passive', 'spontaneous', or 'respectful'. | In both of these sentences, the meaning is exactly the same. However, ラ抜（ぬ）き may only be used when られる is being used to highlight 'possibility'.;私（わたし）のアイスクリームを兄（あに）に食（た）べられた。;My ice cream was eaten by my brother.;;;れる・られる (Potential) | Verb［せる・させる］ | Causative-Passive | れる・られる + ままに | 他動詞・自動詞;;
