grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url
だ;To be, Is;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%A0
です;To be, Is;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%99
は;As for... (Highlights sentence topic);N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%AF
も;Also, Too, As well, Even, Either, Neither;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%82%82
これ;This;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%93%E3%82%8C
それ;That;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%9D%E3%82%8C
あれ;That (over there);N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%82%E3%82%8C
良（い）い;い-Adjective meaning 'good';N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%84%E3%81%84
の;Indicates possession;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%AE
い-Adjective;Adjectives ending in い;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%84-adjectives
な-Adjective;Adjectives that are also nouns;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%AA-adjectives
か;Question marking particle;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%8B
が;Subject marking particle, Identification particle;N5;2;Things that Are Necessary to Use Basic Types of Verbs;https://bunpro.jp/grammar_points/%E3%81%8C
よ;Emphasis (Sentence ending particle);N5;2;Things that Are Necessary to Use Basic Types of Verbs;https://bunpro.jp/grammar_points/%E3%82%88
ね;Isn't it?, Right? (Sentence ending particle);N5;2;Things that Are Necessary to Use Basic Types of Verbs;https://bunpro.jp/grammar_points/%E3%81%AD
