grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url;structure;part_of_speech;word_type;register;about;cautions;example_jp_1;example_en_1;synonyms;antonyms;related
だ;To be, Is;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%A0;Noun + だ | ［な］Adjective + だ;Auxiliary Verb;Dependent Word;Standard;For the most part, だ is the equivalent of 'is' in English. Its role is to strongly express determination or assertion. It is a casual grammar structure, which means that you won't see it in polite sentences.;だ cannot be used with い-Adjectives | Although です, the polite equivalent of だ, can be seen following い-Adjectives, だ itself will never be used directly after an い-Adjective. | While だ is often thought of as the 'casual form' of です, that is actually not entirely true. です is a polite speech word. The official 'formal version' of だ is である. We will learn this grammar point a bit later. である can often be seen in articles, and formal writing, while です is more common in polite speech.;アイスクリームだ。;It is ice cream.;です | である | でございます;じゃない;がある | よ | だった・でした
です;To be, Is;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%99;Noun + です | Adjective + です;Auxiliary Verb;Dependent Word;Polite;Similarly to だ, です is an auxiliary verb that is an expression of determination or assertion. It states that something 'is' a certain way. です is considered to be the polite variation of だ. Keep in mind though that although their roles are similar, both だ and です are standalone structures.;Unlike だ, です is often used with both い-Adjectives and な-Adjectives | Although です is regularly attached to the end of い-Adjectives, some may actually consider this incorrect Japanese, and it should not be used in formal writing. In daily spoken language/texting, however, it is completely normal. | The above example technically should not be used in formal writing. Despite this, in recent years, it is starting to become the norm.;店（みせ）です。;It is a store.;である | だ | でございます;じゃない;～んです・のです | がある | だった・でした
は;As for... (Highlights sentence topic);N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%AF;"Sentence topic + は, Pronounced ""わ""";Particle;Linking Particle;Standard;は (pronounced わ) is often considered to be one of the most difficult particles to master in Japanese, alongside が. は marks the topic of the sentence, and describes the whole sentence broadly. However, が primarily marks single actions or statements. We will explore this distinction in more detail when covering が.;は can be also used to contrast several things | は cannot be used to describe things that you are seeing or experiencing 'in the moment' (right now). This is due to 'in the moment' events being considered part of a larger experience (your whole day for example). | は has 2 main functions. The first marks the topic of the sentence, the second is used for contrast or making comparisons. Although there are no 'strict' rules for this, when は is used toward (or after) the middle of a sentence, it will usually have the nuance of contrast. | In the second sentence, は will give the listener the impression that there is a comparison being made.;私（わたし）は、ワインが嫌（きら）い。;I (as the topic of this sentence) dislike wine. (Specifically wine);;;の | といえば | って | が | Number/Amount + は
も;Also, Too, As well, Even, Either, Neither;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%82%82;Noun + も;Particle;Linking Particle;Standard;も can mean 'too/also', or 'even', or 'neither/either', depending on if the sentence is affirmative or negative. Multiple meanings like this are quite common for Japanese particles, as there is no need to use different words simply to agree with other statements in the sentence (unlike English).;も's translation will change, depending on if the sentence is positive, or negative;私（わたし）も先生（せんせい）です。;I'm also a teacher.;;;すら | でもある | と
これ;This;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%93%E3%82%8C;Demonstrative noun;Noun;Pronoun;Standard;これ is often thought to be equal to 'this' in English, which is basically correct. これ will always be used to highlight something that is close to the speaker either emotionally, or physically.;Although uncommon, its kanji can be seen as 此れ;健康（けんこう）。これは大切（たいせつ）だ。;Health. This is important. (Emotionally close);;;ここ | それ | あれ | この | どれ
それ;That;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%9D%E3%82%8C;Demonstrative noun;Noun;Pronoun;Standard;Just like これ, それ is a 'pronoun-like' word in Japanese (substitute noun). それ translates roughly to 'that' and highlights something that is closer to the listener (physically or emotionally) than the speaker.;Although uncommon, its kanji can be seen as 其れ;それは…;That's hmmm... (About something mentioned earlier. This statement could be translated as 'I'm not sure about that...');;;あの | その | どれ | これ | ここ | そこ | この | あれ | あそこ
あれ;That (over there);N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%82%E3%82%8C;Demonstrative noun (located away from both the speaker and the listener);Noun;Pronoun;Standard;あれ, just like これ and それ, is one of several 'pronoun-like' words in Japanese (substitute nouns). あれ translates roughly to 'that' in English. However, unlike それ, あれ is used to highlight things that are away from both the speaker and the listener. Due to this, it is also often translated as 'that over there'.;Although uncommon, its kanji can be seen as 彼れ;あれは、病院（びょういん）です。;That is a hospital. (Away from the speaker and listener);;;あそこ | あの | その | どれ | これ | それ | ここ | そこ | この
良（い）い;い-Adjective meaning 'good';N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%84%E3%81%84;Non-Past Form: いい | Non-Past Negative Form: よくない | Past Form: よかった | Past Negative Form: よくなかった | Polite Non-Past Form: いい＋です | Polite Non-Past Negative Form: よくない＋です | Polite Past Form: よかった＋です | Polite Past Negative Form: よくなかった＋です;Adjective;Independent Word;Standard;いい is an adjective that means 'good' in Japanese. It can be a little bit difficult to use at first, as it conjugates differently to other い-Adjectives.;よく can also mean 'frequently/often', and has several different potential kanji | When used as an adverb, よく should not be confused as a conjugation of いい. よく has several possible kanji that it may stem from, and means frequently/often/well.;これはいい車（くるま）だ。;This is a good car.;;;い-Adjectives
の;Indicates possession;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%AE;Noun (A) + の + Noun (B);Particle;Case Marking Particle;Standard;From the perspective of English, の has several different meanings. It can indicate possession, like putting (A)'s on the end of a word. In Japanese, however, the meaning is a bit broader, and shows that (B) is an attribute/possession of (A).;(A) の (B) = (B) belongs to, or is a quality of (A) | の is usually used after nouns, but can also be used after other types of words, specifically when it is transforming them into a noun-like phrase. This is called nominalization in English. We will cover this in detail in the の - Nominalization grammar point.;今日（きょう）の夜（よる）。;Today's night. (Not very natural in English, but 'tonight' is an attribute of 'today' in Japanese, so it works);;;がある + Noun
い-Adjective;Adjectives ending in い;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%84-adjectives;おおきい, おいしい, はやい;Adjective;Independent Word;Standard;In Japanese, い-Adjectives are known as 'form containing words', and are used to describe nouns. All い-Adjectives end in い in their base form.;い-Adjectives cannot be used with だ | Unlike な-Adjectives, い-Adjectives must never be followed by だ. This is due to だ only being able to conjugate with nouns (which な-Adjectives originally are). Instead, です is used with い-Adjectives to make them sound more polite.;水（みず）はきれい。;The water is clear.;;;いい | な-Adjectives | い-Adjective (Predicate)
